"Cryptocurreny Pairs Traded, sorted by Highest Price",,,,,,,,,,,,,,,,,,,
Pair Name,Pairs Symbols,Returns (%),Coin1,Coin2,Coin1 ADF p-value,Coin2 ADF p-value,Coin1 Mean,Coin2 Mean,Coin1 Std Dev,Coin2 Std Dev,Coin1 Max,Coin2 Max,Coin1 Min,Coin2 Min,Coin1 ADF Stat,Coin2 ADF Stat,Coin1 5% Conf,Coin2 5% Conf,Mean Total
Ethereum/Stellar,ETH/XLM,260.03,ETH,XLM,0.6345,0.6819,551.6717,0.1991,283.1183,0.1949,1385.0200,0.8848,218.1200,0.0106,-1.2883,-1.1806,-2.8729,-2.8729,551.8707
EOS/Dash,EOS/DASH,170.83,EOS,DASH,0.9935,0.9920,5.1982,520.5694,4.2870,274.5520,16.6100,1433.4100,0.4924,181.6000,0.9343,0.8254,-2.8724,-2.8724,525.7676
IOTA/Dash,IOT/DASH,470.97,IOT,DASH,0.0807,0.0405,1.5647,520.5694,1.1977,274.5520,5.3200,1433.4100,0.2860,181.6000,-2.6628,-2.9438,-2.8730,-2.8730,522.1341
Ripple/Dash,XRP/DASH,82.48,XRP,DASH,0.1920,0.3407,0.6295,520.5694,0.5565,274.5520,2.7800,1433.4100,0.1526,181.6000,-2.2401,-1.8817,-2.8730,-2.8729,521.1990
Stellar/Dash,XLM/DASH,129.73,XLM,DASH,0.7349,0.6819,0.1991,520.5694,0.1949,274.5520,0.8848,1433.4100,0.0106,181.6000,-1.0491,-1.1806,-2.8729,-2.8729,520.7685
Litecoin/Monero,LTC/XMR,196.73,LTC,XMR,0.0054,0.0042,128.8934,197.2312,77.1845,105.4887,357.5100,467.5000,41.9200,43.2400,-3.6205,-3.6944,-2.8727,-2.8727,326.1246
EOS/Monero,EOS/XMR,299.24,EOS,XMR,0.9774,0.9646,5.1982,197.2312,4.2870,105.4887,16.6100,467.5000,0.4924,43.2400,0.3010,0.0789,-2.8724,-2.8724,202.4294
IOTA/Monero,IOT/XMR,406.69,IOT,XMR,0.0985,0.0767,1.5647,197.2312,1.1977,105.4887,5.3200,467.5000,0.2860,43.2400,-2.5738,-2.6846,-2.8729,-2.8729,198.7959
Ripple/Monero,XRP/XMR,243.12,XRP,XMR,0.0384,0.0152,0.6295,197.2312,0.5565,105.4887,2.7800,467.5000,0.1526,43.2400,-2.9635,-3.2934,-2.8730,-2.8730,197.8607
Stellar/Monero,XLM/XMR,376.94,XLM,XMR,0.1934,0.1064,0.1991,197.2312,0.1949,105.4887,0.8848,467.5000,0.0106,43.2400,-2.2362,-2.5386,-2.8723,-2.8723,197.4303
Litecoin/EOS,LTC/EOS,134.32,LTC,EOS,0.8827,0.9296,128.8934,5.1982,77.1845,4.2870,357.5100,16.6100,41.9200,0.4924,-0.5463,-0.2703,-2.8723,-2.8723,134.0916
Litecoin/IOTA,LTC/IOT,206.11,LTC,IOT,0.1076,0.0013,128.8934,1.5647,77.1845,1.1977,357.5100,5.3200,41.9200,0.2860,-2.5333,-4.0185,-2.8729,-2.8724,130.4581
Litecoin/Ripple,LTC/XRP,32.80,LTC,XRP,0.0049,0.0146,128.8934,0.6295,77.1845,0.5565,357.5100,2.7800,41.9200,0.1526,-3.6462,-3.3073,-2.8730,-2.8730,129.5230
Litecoin/Stellar,LTC/XLM,185.61,LTC,XLM,0.1607,0.2290,128.8934,0.1991,77.1845,0.1949,357.5100,0.8848,41.9200,0.0106,-2.3356,-2.1393,-2.8723,-2.8723,129.0925
EOS/IOTA,EOS/IOT,94.48,EOS,IOT,0.9019,0.8087,5.1982,1.5647,4.2870,1.1977,16.6100,5.3200,0.4924,0.2860,-0.4475,-0.8347,-2.8730,-2.8730,6.7629
Ripple/EOS,XRP/EOS,-6.90,XRP,EOS,0.1385,0.3272,0.6295,5.1982,0.5565,4.2870,2.7800,16.6100,0.1526,0.4924,-2.4116,-1.9104,-2.8729,-2.8728,5.8278
EOS/Stellar,EOS/XLM,330.80,EOS,XLM,0.0844,0.0645,5.1982,0.1991,4.2870,0.1949,16.6100,0.8848,0.4924,0.0106,-2.6432,-2.7580,-2.8723,-2.8723,5.3973
Ripple/IOTA,XRP/IOT,-22.49,XRP,IOT,0.0086,0.0044,0.6295,1.5647,0.5565,1.1977,2.7800,5.3200,0.1526,0.2860,-3.4773,-3.6785,-2.8729,-2.8729,2.1942
Stellar/IOTA,XLM/IOT,-11.50,XLM,IOT,0.3402,0.2854,0.1991,1.5647,0.1949,1.1977,0.8848,5.3200,0.0106,0.2860,-1.8828,-2.0026,-2.8723,-2.8723,1.7638
Ripple/Stellar,XRP/XLM,148.35,XRP,XLM,0.0331,0.1103,0.6295,0.1991,0.5565,0.1949,2.7800,0.8848,0.1526,0.0106,-3.0193,-2.5214,-2.8730,-2.8730,0.8286
